Sex,Age,Domicile,Major,GPA,SECA1,SECA2,SECA3,SECA4,SECA5,SECA6,SECA7,SECA8,SECA9,SECA10,SECA11,SECA12,SECA13,SECA14,SECA15,SECA16,SECA17,SECA18,SECA19,SECA20,SECA21,SE-Gf,SE-Gwm ,SE-Glr,SE-Gv,SE-Gc,SE-Ga,SE-Gs,SR-Gf,SR-Gwm,SR-Glr,SR-Gv,SR-Gc,SR-Ga,SR-Gs
Male,18,Luar Jawa,IPA,2.75,4,4,4,5,4,5,5,5,5,5,5,5,3,4,5,4,4,3,4,2,3,122,104,100,127,84,117,85,12,14,15,15,12,11,9
Female,19,Jawa,IPA,3.19,3,3,4,4,3,3,3,3,4,3,3,4,4,3,3,3,4,3,4,4,5,91,117,90,99,125,99,128,10,10,10,10,10,10,13
Male,20,Jawa,Others,3.1,3,4,3,4,4,4,4,4,4,5,5,5,4,4,4,3,4,5,4,2,4,96,128,128,134,129,94,81,10,12,12,15,12,12,10
Female,18,Jawa,IPS,3.76,3,3,3,2,3,2,4,4,4,4,3,4,3,3,3,2,4,2,4,3,2,93,80,84,128,85,79,87,9,7,12,11,9,8,9
Female,19,Jawa,IPA,3.05,3,4,3,2,4,3,4,5,4,4,3,4,3,3,4,3,4,3,4,4,3,102,84,122,125,93,86,120,10,9,13,11,10,10,11
Female,19,Luar Jawa,IPS,3.63,4,4,4,2,4,4,3,2,1,2,4,3,4,4,4,3,1,2,5,4,3,124,87,94,91,121,89,107,12,10,6,9,12,6,12
Female,19,Jawa,IPS,3.7,3,3,2,3,3,3,4,4,4,4,4,4,4,3,3,4,4,2,4,4,3,97,93,117,97,97,123,100,8,9,12,12,10,10,11
Male,21,Jawa,IPS,3.5,3,3,2,1,1,1,2,2,2,2,3,3,3,4,3,1,2,1,3,3,1,105,83,83,85,87,78,89,8,3,6,8,10,4,7
Male,21,Luar Jawa,Others,3.32,5,3,4,5,5,5,4,4,5,4,4,5,3,4,4,4,5,3,3,4,4,122,126,126,123,93,117,123,12,15,13,13,11,12,11
Female,20,Jawa,IPS,3,4,3,3,2,4,3,3,4,4,3,3,2,3,3,4,3,4,2,3,3,3,117,82,86,93,90,92,93,10,9,11,8,10,9,9
Female,20,Jawa,IPA,3.6,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,4,4,3,5,5,5,125,120,126,120,103,124,126,15,15,15,13,14,11,15
Male,19,Jawa,IPA,3.5,5,4,4,1,2,1,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,129,90,80,119,122,80,122,13,4,15,15,14,14,14
Female,19,Luar Jawa,Others,3,5,4,5,1,2,2,2,5,5,4,4,3,2,2,1,1,2,2,3,3,3,112,80,84,129,125,81,96,14,5,12,11,5,5,9
Female,18,Luar Jawa,IPA,3.61,3,4,4,3,5,4,3,4,4,4,3,3,3,2,4,2,3,3,3,4,4,99,86,87,121,85,78,124,11,12,11,10,9,8,11
Female,19,Luar Jawa,IPA,4,4,3,3,5,4,3,3,5,5,5,4,5,3,4,5,3,5,2,5,4,5,127,123,96,122,91,92,85,10,12,13,14,12,10,14
Female,19,Jawa,IPS,3.9,3,4,3,4,4,3,3,3,5,4,3,4,3,3,3,3,3,2,4,3,5,93,124,99,117,89,92,89,10,11,11,11,9,8,12
Male,20,Jawa,IPA,3,4,4,5,3,5,3,5,5,5,5,5,4,4,4,5,3,5,4,3,3,3,129,90,127,123,126,91,91,13,11,15,14,13,12,9
Female,20,Jawa,IPA,3.53,3,5,3,2,4,3,2,5,3,3,4,2,3,3,4,2,2,3,3,2,5,96,82,82,94,88,80,80,11,9,10,9,10,7,10
Female,18,Jawa,IPA,3.29,4,4,3,4,4,3,5,5,5,4,2,3,3,3,3,4,5,4,4,3,4,122,119,94,124,96,124,93,11,11,15,9,9,13,11
Female,22,Luar Jawa,IPA,3.84,4,4,4,4,5,4,4,5,5,4,4,4,5,4,4,4,4,3,4,4,5,126,127,121,124,125,123,125,12,13,14,12,13,11,13
Female,19,Jawa,IPA,3.99,3,4,2,1,2,2,2,5,5,3,3,2,2,4,3,4,3,3,3,2,3,93,99,85,93,75,124,81,9,5,12,8,9,10,8
Male,22,Luar Jawa,IPS,4,3,3,2,4,3,3,3,5,4,3,4,5,3,3,4,3,4,2,4,4,2,93,120,93,91,95,95,122,8,10,12,12,10,9,10
Female,18,Jawa,IPA,3.72,3,3,3,1,2,1,4,5,4,2,5,5,4,4,5,5,5,5,2,2,3,128,75,127,79,75,79,85,9,4,13,12,13,15,7
Male,20,Jawa,IPA,3,4,4,2,2,2,2,2,3,2,3,3,4,3,4,4,3,3,3,3,3,4,125,85,80,86,89,98,90,10,6,7,10,11,9,10
Female,20,Luar Jawa,IPA,3.62,5,3,2,3,4,4,3,4,2,2,2,4,4,4,3,3,4,2,3,3,3,125,98,90,85,122,86,85,10,11,9,8,11,9,9
Female,18,Jawa,IPS,3.8,4,4,3,3,3,2,3,5,5,2,4,3,5,4,3,2,3,2,4,5,3,128,92,90,90,123,93,126,11,8,13,9,12,7,12
Female,19,Luar Jawa,IPS,3.8,4,3,4,3,4,3,3,4,5,4,4,5,4,3,4,3,4,3,3,3,3,121,84,97,122,122,97,90,11,10,12,13,11,10,9
Female,20,Jawa,Others,2.5,3,3,4,2,4,3,1,2,2,3,2,2,5,4,5,4,4,4,3,5,3,95,83,78,82,131,118,127,10,9,5,7,14,12,11
Male,19,Luar Jawa,IPS,3.58,3,2,2,4,4,4,2,4,4,4,4,3,2,2,4,4,4,3,5,3,3,86,78,88,120,83,124,87,7,12,10,11,8,11,11
Female,18,Luar Jawa,IPS,3.58,4,3,3,4,3,2,3,4,4,4,4,3,3,3,3,5,5,5,4,3,2,129,119,94,125,85,122,88,10,9,11,11,9,15,9
Female,20,Jawa,IPS,3.1,3,4,3,2,4,4,4,3,5,5,4,5,3,3,4,4,5,4,2,2,3,86,79,122,127,93,117,81,10,10,12,14,10,13,7
Female,19,Jawa,IPS,3.48,3,3,2,3,3,2,2,2,2,3,3,4,2,2,3,2,3,2,3,3,2,93,94,80,87,87,90,90,8,8,6,10,7,7,8
Male,19,Jawa,IPA,3.72,3,4,3,4,4,3,3,3,5,4,4,4,4,4,4,3,4,4,3,4,3,95,122,93,124,119,88,119,10,11,11,12,12,11,10
Male,20,Jawa,IPA,3.23,4,4,3,4,4,3,5,5,4,4,4,5,4,4,4,3,4,2,4,3,5,130,121,122,125,121,94,94,11,11,14,13,12,9,12
Female,19,Jawa,IPA,3,4,4,4,3,3,3,2,5,3,5,5,5,4,3,4,3,5,2,3,4,2,126,87,80,106,124,92,122,12,9,10,15,11,10,9
Female,19,Jawa,Others,3.65,4,2,3,2,3,2,5,4,5,3,4,3,3,3,4,2,4,2,3,3,2,124,87,84,91,88,78,91,9,7,14,10,10,8,8
Male,20,Jawa,Others,3.14,2,4,2,3,5,4,2,4,4,4,4,4,5,3,3,2,4,2,2,2,3,88,94,84,127,123,80,79,8,12,10,12,11,8,7
Female,21,Luar Jawa,IPA,2.95,2,3,2,3,3,2,3,5,5,4,4,2,2,3,4,2,4,2,3,3,3,84,91,90,122,84,79,95,7,8,13,10,9,8,9
Female,20,Jawa,IPS,3,3,4,3,4,4,4,3,2,2,3,2,1,2,2,4,4,4,4,2,3,2,91,126,92,97,78,129,90,10,12,7,6,8,12,7
Male,19,Jawa,IPA,3.3,5,4,4,5,4,4,5,5,5,4,4,4,5,4,5,5,5,3,5,4,5,132,113,110,122,124,123,122,13,13,15,12,14,13,14
Male,19,Jawa,IPA,3.7,4,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,4,2,5,5,5,120,123,114,105,123,126,126,14,14,15,13,15,11,15
Male,18,Luar Jawa,Others,3.08,3,2,2,3,4,4,3,5,4,5,5,2,3,2,3,4,4,4,5,4,2,96,94,94,109,93,119,119,7,11,12,12,8,12,11
Female,20,Luar Jawa,Others,3.4,2,2,1,3,3,2,2,4,4,4,4,4,3,3,3,3,3,3,4,4,3,78,90,78,117,89,91,129,5,8,10,12,9,9,11
Female,20,Luar Jawa,IPA,3.8,2,2,2,4,4,4,2,4,4,4,5,4,2,2,4,2,2,1,2,2,3,124,114,85,114,81,90,79,6,12,10,13,8,5,7
Male,18,Luar Jawa,IPA,3.39,3,4,3,4,4,4,4,5,4,4,4,5,3,3,3,3,4,3,3,3,3,93,127,126,121,94,93,93,10,12,13,13,9,10,9
Female,18,Jawa,IPA,3,5,5,3,5,5,3,4,4,5,5,5,2,4,4,5,3,5,5,4,3,5,110,125,127,125,130,88,91,13,13,13,12,13,13,12
Male,19,Luar Jawa,IPS,2.6,5,5,5,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,3,114,121,128,126,125,126,125,15,12,14,15,13,12,11
Male,19,Jawa,IPA,3.6,2,5,3,1,2,2,2,2,3,5,4,5,2,3,3,2,3,3,3,2,4,82,76,84,132,71,80,83,10,5,7,14,8,8,9
Female,19,Jawa,IPA,3.7,1,2,1,2,2,2,4,5,5,4,4,4,4,5,5,4,3,3,3,3,5,74,129,125,124,125,121,86,4,6,14,12,14,10,11
Male,21,Jawa,IPA,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,2,3,4,4,3,3,132,124,127,124,85,85,87,12,11,12,12,9,9,10
Female,20,Jawa,IPS,3.25,4,4,3,5,5,5,3,5,2,5,4,3,3,4,5,5,5,2,5,5,5,123,86,89,126,97,88,122,11,15,10,12,12,12,15
Male,19,Jawa,IPA,3.4,3,3,4,5,5,2,5,5,5,5,5,5,3,4,4,2,2,2,5,5,3,93,119,79,141,92,80,125,10,12,15,15,11,6,13
Female,24,Jawa,IPA,3.69,4,4,3,4,4,3,2,3,3,4,4,3,3,3,3,2,4,2,3,2,3,127,120,79,126,96,77,79,11,11,8,11,9,8,8
Male,18,Luar Jawa,IPS,3.05,2,3,2,2,3,2,3,3,4,3,2,3,2,2,3,2,4,3,2,2,2,78,85,77,94,89,82,82,7,7,10,8,7,9,6
Female,19,Jawa,Others,3.3,4,3,3,4,5,4,3,5,4,5,4,3,5,4,4,4,4,3,5,4,3,129,124,87,144,128,119,118,10,13,12,12,13,11,12
Male,18,Luar Jawa,IPA,3.47,4,4,3,4,4,4,3,5,5,4,3,5,4,4,4,3,3,2,4,3,4,124,129,88,123,121,91,95,11,12,13,12,12,8,11
Female,19,Jawa,IPA,3.7,3,4,2,3,5,5,2,2,2,5,4,2,5,5,5,4,5,2,5,4,2,89,89,130,129,123,122,117,9,13,6,11,15,11,11
Female,20,Jawa,IPA,3.75,4,4,4,1,2,1,1,1,2,5,4,2,3,3,4,4,3,1,5,4,5,121,88,80,131,96,116,126,12,4,4,11,10,8,14
Female,21,Jawa,Others,3.45,3,4,2,2,5,4,4,5,4,2,3,4,4,3,5,4,5,3,4,4,3,92,89,121,78,119,130,119,9,11,13,9,12,12,11
Male,19,Luar Jawa,IPA,3.81,4,3,4,4,4,4,3,5,5,5,4,4,4,3,4,3,4,4,3,3,4,123,126,92,125,121,89,91,11,12,13,13,11,11,10
Female,20,Jawa,Others,3.8,4,4,4,4,4,4,4,3,3,4,3,3,3,4,4,3,3,3,4,3,4,120,121,113,131,93,97,91,12,12,10,10,11,9,11
Female,19,Luar Jawa,IPS,3.53,4,4,3,4,4,4,5,5,5,5,4,3,4,4,4,4,4,2,4,3,4,118,124,127,123,128,126,91,11,12,15,12,12,10,11
Female,19,Jawa,Others,3.3,3,3,4,4,3,3,2,4,5,4,3,3,3,3,3,3,4,4,3,4,2,94,121,78,123,88,89,123,10,10,11,10,9,11,9
Female,19,Jawa,Others,3.41,3,2,4,2,3,3,2,3,2,4,4,4,5,4,5,3,2,2,4,3,3,88,84,77,121,133,92,90,9,8,7,12,14,7,10
Female,20,Jawa,IPS,3.3,3,3,3,3,3,3,3,4,2,4,4,3,3,2,3,2,3,1,3,3,2,96,91,86,123,98,81,93,9,9,9,11,8,6,8
Male,20,Luar Jawa,IPA,3.44,3,4,3,2,3,3,2,3,3,1,2,2,4,4,3,2,3,2,3,3,4,89,84,85,85,121,81,93,10,8,8,5,11,7,10
Female,20,Jawa,IPA,3.45,4,3,4,5,4,3,3,4,4,2,2,4,2,2,3,3,4,3,3,2,2,125,123,88,84,79,87,81,11,12,11,8,7,10,7
Female,19,Jawa,IPA,4,4,4,3,5,4,4,3,5,3,5,5,4,3,4,5,4,5,3,5,5,4,120,125,96,127,86,121,126,11,13,11,14,12,12,14
Female,19,Jawa,Others,3.4,4,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,124,124,94,118,122,124,122,13,14,15,15,14,14,15
Female,19,Jawa,IPS,3.68,3,3,4,4,4,4,2,2,5,2,2,1,3,4,3,3,3,3,4,4,4,93,124,80,85,95,88,124,10,12,9,5,10,9,12
Female,19,Luar Jawa,IPA,3,3,3,3,3,3,3,3,3,5,3,4,2,3,3,3,2,3,2,4,4,4,98,92,97,91,94,82,123,9,9,11,9,9,7,12
Female,20,Luar Jawa,IPS,3.4,4,4,2,4,4,3,3,4,3,5,3,2,4,4,3,2,3,2,5,4,4,121,123,93,129,121,86,122,10,11,10,10,11,7,13
Female,19,Luar Jawa,IPS,3.82,4,4,3,4,4,4,4,5,3,4,4,4,4,3,4,3,3,3,4,3,4,126,123,117,119,125,95,90,11,12,12,12,11,9,11
Male,18,Luar Jawa,Others,3.7,4,3,4,3,2,4,3,4,5,5,5,5,5,5,4,3,5,4,3,3,3,126,89,90,129,123,90,96,11,9,12,15,14,12,9
Female,20,Jawa,IPA,3.37,3,3,2,2,3,3,2,4,2,4,3,4,3,2,3,2,3,2,2,2,2,93,85,81,125,88,82,82,8,8,8,11,8,7,6
Female,19,Jawa,IPA,3.8,4,4,3,3,4,3,3,3,4,4,4,3,3,3,4,3,4,2,3,3,4,119,89,94,127,91,87,90,11,10,10,11,10,9,10
Male,19,Jawa,Others,3.6,3,5,4,4,3,4,4,5,5,5,3,3,3,3,4,4,4,3,3,3,3,98,129,124,127,96,124,98,12,11,14,11,10,11,9
Male,21,Jawa,Others,3.2,3,3,2,1,2,1,3,3,3,4,4,4,3,4,3,1,3,3,4,2,2,121,76,77,119,86,74,75,8,4,9,12,10,7,8
Female,19,Jawa,IPS,3.45,4,4,3,3,4,5,3,4,2,3,4,3,4,3,5,4,4,5,3,3,4,126,94,100,101,121,119,98,11,12,9,10,12,13,10
Female,19,Jawa,IPA,3.58,3,4,4,2,4,2,3,3,3,3,3,2,4,3,3,2,4,2,3,3,3,94,85,96,98,125,81,99,11,8,9,8,10,8,9
Female,18,Luar Jawa,IPS,3.7,3,3,2,2,4,4,3,4,4,2,2,2,4,4,4,2,2,1,4,4,2,99,87,102,81,123,78,118,8,10,11,6,12,5,10
Male,18,Jawa,IPA,3.4,3,4,4,4,4,4,3,3,5,3,3,3,4,3,4,4,3,3,3,4,4,93,121,99,99,118,117,124,11,12,11,9,11,10,11
Male,21,Jawa,IPA,3.51,2,2,2,4,4,3,4,5,4,3,2,2,2,3,3,3,3,2,3,2,3,85,124,93,112,77,99,112,6,11,13,7,8,8,8
Female,19,Luar Jawa,IPA,3.36,2,2,3,3,4,4,4,4,3,3,3,2,4,4,4,3,3,2,4,4,3,87,90,121,99,123,98,119,7,11,11,8,12,8,11
Male,19,Jawa,IPA,3.84,4,4,4,4,4,3,4,4,5,2,3,3,3,3,4,4,4,4,3,2,4,122,128,120,81,98,128,86,12,11,13,8,10,12,9
Female,20,Jawa,IPA,3.45,4,2,2,2,4,3,2,2,1,5,4,3,2,3,3,2,4,4,3,4,3,108,78,78,123,82,81,131,8,9,5,12,8,10,10
Male,19,Jawa,IPA,3.21,4,4,4,5,5,4,3,4,4,4,4,5,5,3,4,4,5,3,4,4,5,121,125,92,124,125,125,130,12,14,11,13,12,12,13
Male,18,Jawa,IPS,3.4,4,3,3,3,4,4,3,4,3,3,3,4,4,4,3,4,3,4,3,3,3,106,101,113,91,129,123,92,10,11,10,10,11,11,9
Male,19,Jawa,Others,3.45,4,4,4,3,4,4,4,4,5,4,5,5,3,4,4,3,3,3,3,3,4,124,93,122,122,87,89,94,12,11,13,14,11,9,10
Male,20,Luar Jawa,Others,3,3,3,3,2,3,2,5,5,5,5,3,3,5,3,3,3,4,4,4,3,2,89,90,125,131,123,86,95,9,7,15,11,11,11,9
Male,19,Jawa,IPA,2.75,4,4,2,3,3,3,3,3,4,5,5,5,4,4,3,3,4,3,4,2,2,127,102,84,122,122,97,80,10,9,10,15,11,10,8
Male,19,Jawa,IPA,3.1,4,3,3,3,4,3,4,4,5,4,3,4,3,4,4,4,4,4,4,4,3,122,91,122,124,97,119,123,10,10,13,11,11,12,11
Female,19,Jawa,IPA,3.6,3,3,3,2,2,2,2,4,3,2,2,2,3,2,2,2,2,2,3,3,3,85,80,81,79,89,80,95,9,6,9,6,7,6,9
Male,18,Jawa,IPA,3.45,4,3,2,3,3,2,2,2,3,3,3,2,3,3,4,3,3,3,4,3,5,115,87,79,97,94,96,86,9,8,7,8,10,9,12
Female,19,Luar Jawa,IPS,3.81,4,4,4,4,4,3,5,5,5,4,5,4,4,4,4,4,5,4,4,5,3,114,130,91,105,126,128,126,12,11,15,13,12,13,12
Female,19,Jawa,IPA,3.3,4,3,3,2,3,4,4,5,2,4,4,4,5,4,5,4,5,5,2,2,2,128,84,118,130,119,126,120,10,9,11,12,14,14,6
Male,18,Luar Jawa,IPS,3.5,3,3,4,3,3,4,4,3,3,4,4,3,2,3,3,3,3,2,2,2,3,89,96,114,123,81,96,79,10,10,10,11,8,8,7
Male,22,Jawa,Others,3.5,5,5,5,4,4,4,4,4,2,2,1,1,4,4,4,2,2,1,4,4,4,126,125,126,89,121,123,81,15,12,10,4,12,5,12
Male,20,Jawa,IPS,2.78,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,91,122,93,94,95,89,92,9,11,9,9,9,9,10
Male,19,Jawa,IPS,2.97,3,4,3,2,3,3,3,2,2,3,3,4,3,3,3,3,3,3,4,2,2,95,80,88,90,89,96,102,10,8,7,10,9,9,8
Male,22,Jawa,IPA,3.15,3,3,3,2,3,3,3,4,4,4,4,4,4,3,3,3,3,2,3,3,2,102,80,91,124,121,88,97,9,8,11,12,10,8,8
Female,21,Jawa,Others,2.62,2,2,2,4,5,3,3,5,5,4,4,3,5,3,4,3,4,2,3,3,2,84,79,92,116,122,88,93,6,12,13,11,12,9,8
Male,19,Luar Jawa,IPA,3.06,5,3,5,5,5,5,5,3,5,5,5,5,3,4,4,3,5,3,5,3,3,129,127,127,129,97,96,89,13,15,13,15,11,11,11
Male,20,Jawa,IPA,3.59,3,3,3,4,4,4,3,5,5,4,3,3,3,3,3,4,3,5,4,3,3,95,121,87,130,90,125,91,9,12,13,10,9,12,10
Male,18,Jawa,IPA,3.89,4,5,4,3,3,3,5,5,5,3,4,3,4,3,4,3,4,3,3,3,2,124,94,122,96,119,91,91,13,9,15,10,11,10,8
