Sex,Age,Domicile,Major,GPA,SECA1,SECA2,SECA3,SECA4,SECA5,SECA6,SECA7,SECA8,SECA9,SECA10,SECA11,SECA12,SECA13,SECA14,SECA15,SECA16,SECA17,SECA18,SECA19,SECA20,SECA21,SE-Gf,SE-Gwm ,SE-Glr,SE-Gv,SE-Gc,SE-Ga,SE-Gs,SR-Gf,SR-Gwm,SR-Glr,SR-Gv,SR-Gc,SR-Ga,SR-Gs
Female,19,Jawa,Others,3.75,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,2,2,3,119,126,126,117,94,126,82,12,12,12,12,10,10,7
Male,19,Jawa,IPS,3.65,4,5,4,4,3,4,3,5,5,5,4,4,3,5,4,3,3,4,4,4,4,125,123,92,119,89,93,127,13,11,13,13,12,10,12
Female,19,Jawa,IPA,3.85,3,4,3,5,5,5,3,5,5,5,3,4,5,4,5,3,4,2,5,3,5,87,121,83,123,128,93,94,10,15,13,12,14,9,13
Male,20,Jawa,IPS,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,129,124,127,130,124,126,129,15,15,15,15,15,15,15
Female,19,Jawa,IPA,2.9,2,4,4,4,5,4,3,5,5,5,4,5,3,3,3,5,5,5,5,2,5,78,71,95,121,87,124,79,10,13,13,14,9,15,12
Female,25,Jawa,IPA,3.3,3,3,3,3,4,3,3,3,3,4,4,4,4,3,4,3,3,2,3,3,3,92,87,91,118,124,93,95,9,10,9,12,11,8,9
Male,19,Luar Jawa,IPA,3.37,1,1,1,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,76,77,121,74,78,74,124,3,15,4,3,3,3,4
Female,19,Jawa,Others,3.6,3,3,3,1,2,2,4,4,3,4,4,4,2,3,2,4,4,4,4,4,4,93,74,125,128,80,126,126,9,5,11,12,7,12,12
Male,20,Jawa,Others,3.8,3,4,3,2,3,3,3,3,2,3,3,4,2,3,3,2,2,4,2,2,2,91,83,91,96,83,80,87,10,8,8,10,8,8,6
Male,19,Jawa,IPA,3.85,4,2,2,2,2,1,3,4,2,5,4,4,3,4,4,3,4,3,2,3,3,122,102,89,130,82,79,88,8,5,9,13,11,10,8
Male,19,Jawa,IPA,3.32,3,4,3,4,4,5,4,3,3,4,3,4,4,3,4,4,4,3,4,3,4,88,120,125,125,123,120,93,10,13,10,11,11,11,11
Female,20,Jawa,IPA,3.4,3,4,3,4,4,4,2,4,4,4,4,5,3,3,4,2,2,3,4,3,3,89,117,81,125,95,87,88,10,12,10,13,10,7,10
Male,19,Jawa,IPA,3.43,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,100,94,82,96,86,86,88,9,9,8,9,9,8,9
Female,20,Luar Jawa,IPS,3.3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,5,5,3,121,120,125,122,125,124,125,12,12,12,12,10,12,13
Male,20,Jawa,IPS,3.74,4,4,4,4,5,3,4,5,4,3,3,5,4,4,3,3,4,4,3,3,2,122,128,128,90,124,92,122,12,12,13,11,11,11,8
Male,22,Jawa,Others,3.3,2,2,2,3,4,3,5,5,5,1,3,2,3,3,3,4,4,3,3,4,3,120,89,84,103,85,120,118,6,10,15,6,9,11,10
Male,19,Jawa,IPS,3.15,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,81,85,85,83,88,84,82,6,6,7,6,7,6,6
Female,18,Luar Jawa,IPS,3.9,5,4,4,2,2,1,2,1,1,5,5,4,4,5,5,2,1,3,3,4,2,125,88,84,121,128,77,121,13,5,4,14,14,6,9
Female,22,Jawa,IPA,3.5,5,4,4,4,4,3,3,4,4,3,3,5,3,3,5,3,5,3,4,4,4,119,127,89,87,88,87,120,13,11,11,11,11,11,12
Female,20,Jawa,IPA,3.1,3,3,2,3,3,2,4,3,4,4,2,3,4,3,3,2,3,2,3,3,2,95,89,126,125,123,82,93,8,8,11,9,10,7,8
Female,21,Jawa,IPA,3.4,3,3,3,4,3,3,3,4,4,3,3,4,3,3,3,2,3,2,3,3,3,99,127,89,92,97,89,87,9,10,11,10,9,7,9
Female,19,Jawa,IPS,3.7,3,3,3,3,4,3,3,4,3,3,3,4,3,3,4,3,4,3,3,3,3,95,90,92,92,92,85,89,9,10,10,10,10,10,9
Female,18,Jawa,IPA,3.55,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,93,127,124,127,119,123,86,9,12,12,11,12,12,10
Female,19,Jawa,IPA,3.33,4,5,3,3,4,3,3,2,2,3,5,4,4,4,5,4,3,2,3,5,4,119,91,90,87,128,119,120,12,10,7,12,13,9,12
Female,18,Jawa,IPS,3.75,4,3,3,5,5,5,4,5,5,5,5,4,5,4,4,3,4,2,3,5,4,122,125,91,127,123,94,128,10,15,14,14,13,9,12
Male,20,Jawa,IPS,3.42,4,4,4,5,5,4,4,5,4,3,4,5,5,4,4,4,5,5,4,5,4,126,131,122,96,123,123,122,12,14,13,12,13,14,13
