Sex,Age,Domicile,Major,GPA,SECA1,SECA2,SECA3,SECA4,SECA5,SECA6,SECA7,SECA8,SECA9,SECA10,SECA11,SECA12,SECA13,SECA14,SECA15,SECA16,SECA17,SECA18,SECA19,SECA20,SECA21
Male,22,Jawa,IPA,3.07,3,4,3,5,5,5,4,5,5,5,4,5,4,4,4,4,5,4,4,3,4
Male,19,Luar Jawa,IPA,3.5,3,4,4,2,2,1,4,4,3,4,4,5,3,4,5,1,2,1,2,4,5
Male,20,Luar Jawa,IPA,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Male,20,Luar Jawa,IPS,3.5,3,4,3,4,3,3,3,4,3,3,4,3,3,4,3,3,3,3,4,3,3
Female,20,Jawa,IPA,3.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Female,20,Jawa,IPS,3.75,3,3,4,3,4,2,3,4,4,4,3,4,2,3,3,2,4,2,2,3,3
Female,19,Jawa,IPA,3.71,4,4,4,4,3,3,4,4,5,4,4,3,3,3,4,3,4,4,4,4,5
Male,20,Jawa,IPS,3.63,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
Male,19,Jawa,IPA,3.65,4,4,3,4,4,3,3,4,5,3,4,5,4,3,4,3,3,2,4,4,5
Female,20,Jawa,IPS,3.25,5,4,3,4,5,3,3,5,5,4,4,5,5,4,5,5,5,5,4,4,4
Female,21,Jawa,IPA,3.8,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,5,5,5,4,4
Female,18,Jawa,IPA,3.64,4,4,2,2,2,2,2,4,4,2,2,4,3,3,2,2,4,2,4,4,2
Female,19,Jawa,IPS,3.5,3,3,2,4,3,3,3,4,3,2,2,4,4,3,3,2,3,3,3,3,3
Female,19,Jawa,IPA,3.6,3,3,2,3,4,2,3,5,4,3,3,4,2,2,3,2,2,1,4,2,4
Female,19,Jawa,IPA,3.64,3,3,3,3,3,3,3,3,2,3,2,4,3,3,4,3,3,2,4,4,3
Female,18,Jawa,IPA,3.7,4,4,4,3,4,4,3,4,5,3,2,4,2,3,4,4,4,3,3,3,4
Female,18,Jawa,IPA,3.46,4,3,3,2,5,4,5,5,3,5,3,5,4,3,3,3,3,2,3,2,2
Female,19,Jawa,IPA,3.72,4,4,3,5,4,4,4,5,5,5,4,2,4,4,3,4,3,3,4,4,5
Male,23,Jawa,Others,3.83,5,4,5,5,5,4,3,5,5,5,5,4,4,5,5,3,5,5,5,5,4
Female,19,Jawa,IPS,3.7,3,4,3,2,3,2,2,3,2,3,3,4,3,3,3,3,3,3,2,2,3
Female,21,Jawa,IPS,3.58,3,3,3,3,3,3,3,5,4,3,3,3,3,3,3,3,3,2,3,3,3
Female,19,Jawa,Others,3.5,3,3,3,3,4,4,4,4,3,4,4,4,3,3,4,2,3,3,3,3,2
Female,19,Jawa,IPA,3.92,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,3,2,4,3,5
Female,21,Luar Jawa,IPA,3.91,4,3,3,3,4,4,3,4,4,5,4,4,3,3,4,3,4,3,3,2,1
Female,18,Jawa,Others,3.53,4,4,2,3,5,4,3,4,4,4,4,5,4,4,5,4,5,4,4,5,2
Female,21,Jawa,IPA,2.89,3,3,3,3,4,3,3,3,4,4,4,3,4,3,4,3,3,2,5,5,4
